# Kranji phonic partition - initial: zero
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 1115
U+5B87	宇	yǔ	yǔ	yǔ(144)
U+5B89	安	ān	ān	ān(596)
U+5B8C	完	wán	wán	wán(1502)
U+5B9B	宛	wǎn	wǎn	
U+5B9C	宜	yí	yí	yi(58) yí(38)
U+5BA5	宥	yòu	yòu	
U+5BA7	宧	yí	yí	
U+5BB4	宴	yàn	yàn	yàn(34)
U+5BC5	寅	yín	yín	
U+5BD3	寓	yù	yù	yù(11)
U+5BE4	寤	wù	wù	
U+5C09	尉	wèi,yù	wèi	
U+5C14	尔	ěr	ěr	ěr(26)
U+5C22	尢	wāng	wāng	
U+5C24	尤	yóu	yóu	yóu(110)
U+5C27	尧	yáo	yáo	
U+5C2A	尪	wāng	wāng	
U+5C39	尹	yǐn	yǐn	
U+5C3E	尾	wěi,yǐ	wěi	wěi(169)
U+5C4B	屋	wū	wū	wū(774)
U+5C59	屙	ē	ē	
U+5C79	屹	yì	yì	yì(18)
U+5C7C	屼	wù	wù	
U+5C7F	屿	yǔ	yǔ	yǔ(30)
U+5C88	岈	yá	yá	
U+5C99	岙	ào	ào	
U+5CA9	岩	yán	yán	yán(70)
U+5CB3	岳	yuè	yuè	
U+5CB8	岸	àn	àn	àn(343)
U+5CC4	峄	yì	yì	
U+5CD7	峗	wéi	wéi	
U+5CE3	峣	yáo	yáo	
U+5CE8	峨	é	é	é(12)
U+5CEA	峪	yù	yù	
U+5CFF	峿	wú	wú	
U+5D16	崖	yá	yá	yá(43)
U+5D1F	崟	yín	yín	
U+5D26	崦	yān	yān	
U+5D34	崴	wǎi	wǎi	
U+5D3E	崾	yào	yào	
U+5D3F	崿	è	è	
U+5D4E	嵎	yú	yú	
U+5D5B	嵛	yú	yú	
U+5D6C	嵬	wéi	wéi	
U+5D85	嶅	áo	áo	
U+5DB7	嶷	yí	yí	
U+5DCD	巍	wēi	wēi	wēi(12)
U+5DEB	巫	wū	wū	
U+5DF2	已	yǐ	yǐ	yǐ(2107)
U+5E0F	帏	wéi	wéi	
U+5E37	帷	wéi	wéi	
U+5E44	幄	wò	wò	
U+5E7A	幺	yāo	yāo	
U+5E7C	幼	yòu	yòu	yòu(66)
U+5E7D	幽	yōu	yōu	
U+5E91	庑	wǔ	wǔ	
U+5E94	应	yīng,yìng	yīng	yīng(1045) yìng(400) ying(213)
U+5EB5	庵	ān	ān	
U+5EB8	庸	yōng	yōng	yōng(9)
U+5EBE	庾	yǔ	yǔ	
U+5EC6	廆	wěi	wěi	
U+5ED2	廒	áo	áo	
U+5ED9	廙	yì	yì	
U+5EF6	延	yán	yán	yán(55)
U+5F02	异	yì	yì	yì(146)
U+5F07	弇	yǎn	yǎn	
U+5F08	弈	yì	yì	
