# Kranji phonic partition - initial: zh
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 449
U+8301	茁	zhuó	zhuó	zhuó(9)
U+8331	茱	zhū	zhū	
U+833D	茽	zhòng	zhòng	
U+836E	荮	zhòu	zhòu	
U+8457	著	zhù,zhuó	zhù	zhe(10643) zháo(545) zhù(275) zhuó(125) zhāo(15)
U+8474	葴	zhēn	zhēn	
U+84B8	蒸	zhēng	zhēng	zhēng(115)
U+84C1	蓁	zhēn	zhēn	
U+8517	蔗	zhè	zhè	zhe(10)
U+8638	蘸	zhàn	zhàn	zhàn(10)
U+86B1	蚱	zhà	zhà	
U+86C0	蛀	zhù	zhù	zhù(10)
U+86DB	蛛	zhū	zhū	zhū(34)
U+86ED	蛭	zhì	zhì	
U+86F0	蛰	zhé	zhé	
U+8707	蜇	zhē,zhé	zhē	
U+8718	蜘	zhī	zhī	zhī(34)
U+87BD	螽	zhōng	zhōng	
U+87D1	蟑	zhāng	zhāng	
U+880B	蠋	zhú	zhú	
U+8860	衠	zhūn	zhūn	
U+8877	衷	zhōng	zhōng	
U+8897	袗	zhěn	zhěn	
U+88C5	装	zhuāng	zhuāng	zhuāng(732)
U+8936	褶	zhě	zhě	
U+89EF	觯	zhì	zhì	
U+8A5F	詟	zhé	zhé	
U+8A79	詹	zhān	zhān	
U+8BC1	证	zhèng	zhèng	zhèng(518)
U+8BC8	诈	zhà	zhà	
U+8BCA	诊	zhěn	zhěn	zhěn(32)
U+8BCC	诌	zhōu	zhōu	
U+8BCF	诏	zhào	zhào	
U+8BDB	诛	zhū	zhū	
U+8BE4	诤	zhèng	zhèng	
U+8BF8	诸	zhū	zhū	zhū(24)
U+8BFC	诼	zhuó	zhuó	
U+8C06	谆	zhūn	zhūn	
U+8C2A	谪	zhé	zhé	
U+8C35	谵	zhān	zhān	
U+8C78	豸	zhài,zhì	zhì	
U+8D1E	贞	zhēn	zhēn	
U+8D26	账	zhàng	zhàng	
U+8D28	质	zhì	zhì	zhì(902)
U+8D2E	贮	zhù	zhù	
U+8D3D	贽	zhì	zhì	
U+8D48	赈	zhèn	zhèn	
U+8D52	赒	zhōu	zhōu	
U+8D58	赘	zhuì	zhuì	
U+8D5A	赚	zhuàn	zhuàn	zhuàn(25)
U+8D6D	赭	zhě	zhě	
U+8D75	赵	zhào	zhào	
U+8DBE	趾	zhǐ	zhǐ	
U+8DD6	跖	zhí	zhí	
U+8DF1	跱	zhì	zhì	
U+8E2C	踬	zhì	zhì	
U+8E2F	踯	zhí	zhí	
U+8E35	踵	zhǒng	zhǒng	
U+8E85	躅	zhú	zhú	
U+8F6C	转	zhuǎn,zhuàn	zhuǎn	zhuǎn(757) zhuàn(177)
U+8F74	轴	zhóu,zhòu	zhóu	zhóu(39)
U+8F75	轵	zhǐ	zhǐ	
U+8F78	轸	zhěn	zhěn	
U+8F7E	轾	zhì	zhì	
U+8F80	辀	zhōu	zhōu	
U+8F84	辄	zhé	zhé	
U+8F97	辗	zhǎn	zhǎn	
U+8F99	辙	zhé	zhé	
U+8FD9	这	zhè	zhè	zhè(16714)
U+8FFD	追	zhuī	zhuī	zhuī(272)
U+9010	逐	zhú	zhú	zhú(275)
U+906E	遮	zhē	zhē	zhē(61)
U+90BE	邾	zhū	zhū	
U+90C5	郅	zhì	zhì	
U+90D1	郑	zhèng	zhèng	zhèng(16)
U+9123	鄣	zhāng	zhāng	
U+914C	酌	zhuó	zhuó	
U+914E	酎	zhòu	zhòu	
U+916F	酯	zhǐ	zhǐ	
U+91CD	重	chóng,zhòng	zhòng	zhòng(1823) chóng(329)
U+9488	针	zhēn	zhēn	zhēn(319)
U+948A	钊	zhāo	zhāo	
U+949F	钟	zhōng	zhōng	zhōng(410)
U+94B2	钲	zhēng	zhēng	
U+94DA	铚	zhì	zhì	
U+94E1	铡	zhá	zhá	
U+94E2	铢	zhū	zhū	
U+94EE	铮	zhēng	zhēng	
U+94F8	铸	zhù	zhù	zhù(36)
U+9517	锗	zhě	zhě	
U+9525	锥	zhuī	zhuī	
U+9527	锧	zhì	zhì	
U+953A	锺	zhōng	zhōng	
U+9547	镇	zhèn	zhèn	zhèn(216)
U+956F	镯	zhuó	zhuó	
U+957F	长	cháng,zhǎng	zhǎng	zhǎng(1879) cháng(1179)
U+95F8	闸	zhá	zhá	zhá(20)
U+9635	阵	zhèn	zhèn	zhèn(577)
U+965F	陟	zhì	zhì	
U+969C	障	zhàng	zhàng	zhàng(98)
U+96B9	隹	zhuī	zhuī	
U+96C9	雉	zhì	zhì	
U+9705	霅	zhà	zhà	
U+9707	震	zhèn	zhèn	zhèn(221)
U+989B	颛	zhuān	zhuān	
U+98D0	飐	zhǎn	zhǎn	
U+9994	馔	zhuàn	zhuàn	
U+9A7B	驻	zhù	zhù	zhù(33)
U+9A93	骓	zhuī	zhuī	
U+9A98	骘	zhì	zhì	
U+9AA4	骤	zhòu	zhòu	zhòu(20)
U+9AFD	髽	zhuā	zhuā	
U+9B12	鬒	zhěn	zhěn	
U+9C8A	鲊	zhǎ	zhǎ	
U+9C9D	鲝	zhǎ	zhǎ	
U+9CE3	鳣	zhān	zhān	
U+9E29	鸩	zhèn	zhèn	
U+9E37	鸷	zhì	zhì	
U+9E3C	鸼	zhōu	zhōu	
U+9E67	鹧	zhè	zhè	
U+9E6F	鹯	zhān	zhān	
U+9E88	麈	zhǔ	zhǔ	
U+9EF9	黹	zhǐ	zhǐ	
U+9F47	齇	zhā	zhā	
U+26B5C	𦭜	zhī	zhī	
U+2B5F4	𫗴	zhān	zhān	
U+2C0CA	𬃊	zhì	zhì	
U+2C62F	𬘯	zhǔn	zhǔn	
U+2C8DE	𬣞	zhǔ	zhǔ	
U+2CB3F	𬬿	zhāo	zhāo	
U+2CD90	𬶐	zhào	zhào	
U+2CE26	𬸦	zhuó	zhuó	
