# Kranji phonic partition - initial: p
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 263
U+8F9F	辟	bì,pì	pì	pì(68) bì(27)
U+8FEB	迫	pǎi,pò	pò	pò(306)
U+9004	逄	páng	páng	
U+90B3	邳	pī	pī	
U+90EB	郫	pí	pí	
U+9131	鄱	pó	pó	
U+914D	配	pèi	pèi	pèi(291)
U+9166	酦	pō	pō	
U+917A	酺	pú	pú	
U+9185	醅	pēi	pēi	
U+948B	钋	pō	pō	
U+94B7	钷	pǒ	pǒ	
U+94CD	铍	pí	pí	
U+94FA	铺	pū,pù	pù	pù(111) pū(96) pu(11)
U+952B	锫	péi	péi	
U+9564	镤	pú	pú	
U+9568	镨	pǔ	pǔ	
U+9642	陂	pí	pí	
U+966A	陪	péi	péi	péi(69)
U+9674	陴	pí	pí	
U+96F1	雱	pāng	pāng	
U+9708	霈	pèi	pèi	
U+9739	霹	pī	pī	
U+9887	颇	pō	pō	pō(55)
U+9891	频	pín	pín	pín(48)
U+98A6	颦	pín	pín	
U+98D8	飘	piāo	piāo	piāo(90)
U+9A88	骈	pián	pián	
U+9A97	骗	piàn	piàn	piàn(96)
U+9B44	魄	pò	pò	pò(11)
U+9C86	鲆	píng	píng	
U+9C8F	鲏	pí	pí	
U+9CD1	鳑	páng	páng	
U+9E4F	鹏	péng	péng	
U+9F19	鼙	pí	pí	
U+2139A	𡎚	piǎn	piǎn	
U+2C79F	𬞟	pín	pín	
U+2CB6F	𬭯	piě	piě	
U+2CCF5	𬳵	pī	pī	
