# Kranji phonic partition - initial: k
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 229
U+950E	锎	kāi	kāi	
U+951E	锞	kè	kè	
U+951F	锟	kūn	kūn	
U+9534	锴	kǎi	kǎi	
U+95F6	闶	kàng	kàng	
U+95FF	闿	kǎi	kǎi	
U+9603	阃	kǔn	kǔn	
U+9614	阔	kuò	kuò	kuò(148)
U+961A	阚	kàn	kàn	
U+9760	靠	kào	kào	kào(524)
U+988F	颏	kē,ké	kē	
U+9897	颗	kē	kē	kē(207)
U+9988	馈	kuì	kuì	
U+9997	馗	kuí	kuí	
U+9A92	骒	kè	kè	
U+9A99	骙	kuí	kuí	
U+9AB7	骷	kū	kū	
U+9AC1	髁	kē	kē	
U+9ACB	髋	kuān	kuān	
U+9AE1	髡	kūn	kūn	
U+9B41	魁	kuí	kuí	
U+9C99	鲙	kuài	kuài	
U+9CB2	鲲	kūn	kūn	
U+9E4D	鹍	kūn	kūn	
U+9F9B	龛	kān	kān	
U+21413	𡐓	kāng	kāng	
U+29F8C	𩾌	kāng	kāng	
U+2B6ED	𫛭	kuáng	kuáng	
U+2B806	𫠆	kuǐ	kuǐ	
U+2BE29	𫸩	kōu	kōu	
