# Kranji phonic partition - initial: b
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 380
U+8378	荸	bí	bí	
U+83DD	菝	bá	bá	
U+83E0	菠	bō	bō	
U+8406	萆	bì	bì	
U+8439	萹	biān	biān	
U+8446	葆	bǎo	bǎo	
U+84A1	蒡	bàng	bàng	
U+84D3	蓓	bèi	bèi	
U+84D6	蓖	bì	bì	
U+8500	蔀	bù	bù	
U+853D	蔽	bì	bì	bì(59)
U+8543	蕃	bō	bō	
U+8584	薄	báo,bó,bò	báo	báo(80) bó(43)
U+859C	薜	bì	bì	
U+85E8	藨	biāo	biāo	
U+8686	蚆	bā	bā	
U+868C	蚌	bàng,bèng	bàng	
U+86C3	蛃	bǐng	bǐng	
U+8759	蝙	biān	biān	biān(15)
U+8865	补	bǔ	bǔ	bǔ(141)
U+8868	表	biǎo	biǎo	biǎo(1608)
U+88AB	被	bèi	bèi	bèi(1546)
U+88AF	袯	bó	bó	
U+88E8	裨	bì	bì	
U+88F1	裱	biǎo	biǎo	
U+890A	褊	biǎn	biǎn	
U+8912	褒	bāo	bāo	
U+8913	褓	bǎo	bǎo	
U+8919	褙	bèi	bèi	
U+895E	襞	bì	bì	
U+89F1	觱	bì	bì	
U+8BD0	诐	bì	bì	
U+8C24	谤	bàng	bàng	
U+8C73	豳	bīn	bīn	
U+8C79	豹	bào	bào	bào(15)
U+8D1D	贝	bèi	bèi	bèi(49)
U+8D25	败	bài	bài	bài(218)
U+8D2C	贬	biǎn	biǎn	
U+8D32	贲	bēn	bēn	
U+8D51	赑	bì	bì	
U+8DB5	趵	bào	bào	
U+8DCB	跋	bá	bá	
U+8DDB	跛	bǒ	bǒ	bǒ(11)
U+8DF8	跸	bì	bì	
U+8E23	踣	bó	bó	
U+8E66	蹦	bèng	bèng	bèng(28)
U+8E69	蹩	bié	bié	
U+8F88	辈	bèi	bèi	bèi(87)
U+8FA8	辨	biàn	biàn	biàn(49)
U+8FA9	辩	biàn	biàn	biàn(165)
U+8FAB	辫	biàn	biàn	biàn(55)
U+8FB9	边	biān	biān	biān(2050) bian(356)
U+8FF8	迸	bèng	bèng	
U+900B	逋	bū	bū	
U+903C	逼	bī	bī	bī(89)
U+904D	遍	biàn	biàn	biàn(290)
U+907F	避	bì	bì	bì(166)
U+90A0	邠	bīn	bīn	
U+90A6	邦	bāng	bāng	bāng(13)
U+90B2	邲	bì	bì	
U+90B4	邴	bǐng	bǐng	
U+90B6	邶	bèi	bèi	
U+90E8	部	bù	bù	bù(2783)
U+9119	鄙	bǐ	bǐ	bǐ(13)
U+91AD	醭	bú	bú	
U+943E	鐾	bèi	bèi	
U+949A	钚	bù	bù	
U+94A1	钡	bèi	bèi	
U+94A3	钣	bǎn	bǎn	
U+94AF	钯	bǎ	bǎ	
U+94B5	钵	bō	bō	
U+94B9	钹	bó	bó	
U+94C2	铂	bó	bó	
U+94CB	铋	bì	bì	
U+951B	锛	bēn	bēn	
U+9548	镈	bó	bó	
U+9551	镑	bàng	bàng	
U+9554	镔	bīn	bīn	
U+9556	镖	biāo	biāo	
U+955A	镚	bèng	bèng	
U+9573	镳	biāo	biāo	
U+95ED	闭	bì	bì	bì(117)
U+962A	阪	bǎn	bǎn	
U+965B	陛	bì	bì	
U+96F9	雹	báo	báo	báo(15)
U+9738	霸	bà	bà	bà(27)
U+9776	靶	bǎ	bǎ	
U+977D	靽	bàn	bàn	
U+9781	鞁	bèi	bèi	
U+97AD	鞭	biān	biān	biān(48)
U+97B4	鞴	bèi	bèi	
U+9881	颁	bān	bān	bān(21)
U+98D1	飑	biāo	biāo	
U+98D9	飙	biāo	biāo	
U+9971	饱	bǎo	bǎo	bǎo(85)
U+997C	饼	bǐng	bǐng	bǐng(40) bing(35)
U+997D	饽	bō	bō	
U+999D	馝	bì	bì	
U+999E	馞	bó	bó	
U+9A73	驳	bó	bó	bó(26)
U+9A89	骉	biāo	biāo	
U+9AA0	骠	biāo,piào	biāo	
U+9AC0	髀	bì	bì	
U+9ACC	髌	bìn	bìn	
U+9B13	鬓	bìn	bìn	
U+9B43	魃	bá	bá	
U+9C83	鲃	bā	bā	
U+9C85	鲅	bà	bà	
