# Kranji phonic partition - initial: g
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 345
U+8F9C	辜	gū	gū	gū(9)
U+8FC7	过	guō,guò	guò	guò(5174) guo(1222)
U+901B	逛	guàng	guàng	guàng(19)
U+9058	遘	gòu	gòu	
U+90BD	邽	guī	guī	
U+90DC	郜	gào	gào	
U+90ED	郭	guō	guō	
U+9150	酐	gān	gān	
U+9164	酤	gū	gū	
U+9486	钆	gá	gá	
U+9499	钙	gài	gài	gài(11)
U+94A2	钢	gāng,gàng	gāng	gāng(526)
U+94A9	钩	gōu	gōu	gōu(42)
U+94B4	钴	gǔ	gǔ	gǔ(14)
U+94EC	铬	gè	gè	
U+9505	锅	guō	guō	guō(115)
U+9506	锆	gào	gào	
U+9522	锢	gù	gù	
U+9549	镉	gé	gé	
U+9550	镐	gǎo	gǎo	
U+95FA	闺	guī	guī	guī(37)
U+9601	阁	gé	gé	
U+9654	陔	gāi	gāi	
U+9694	隔	gé	gé	gé(155)
U+96C7	雇	gù	gù	gù(25)
U+96CA	雊	gòu	gòu	
U+9769	革	gé	gé	gé(2148)
U+97B2	鞲	gōu	gōu	
U+987E	顾	gù	gù	gù(323)
U+9983	馃	guǒ	guǒ	
U+9986	馆	guǎn	guǎn	guǎn(241)
U+9989	馉	gǔ	gǔ	
U+9998	馘	guó	guó	
U+9AA8	骨	gū,gǔ	gǔ	gǔ(185) gú(62)
U+9ABC	骼	gé	gé	gé(22)
U+9AD8	高	gāo	gāo	gāo(3057)
U+9B32	鬲	gé,lì	gé	
U+9B36	鬶	guī	guī	
U+9B3C	鬼	guǐ	guǐ	guǐ(224)
U+9C91	鲑	guī	guī	
U+9CA0	鲠	gěng	gěng	
U+9CA7	鲧	gǔn	gǔn	
U+9CB4	鲴	gù	gù	
U+9CCF	鳏	guān	guān	
U+9CDC	鳜	guì	guì	
U+9CE1	鳡	gǎn	gǎn	
U+9CE4	鳤	guǎn	guǎn	
U+9E2A	鸪	gū	gū	
U+9E39	鸹	guā	guā	
U+9E3D	鸽	gē	gē	gē(11)
U+9E44	鹄	gǔ,hú	gǔ	
U+9E52	鹒	gēng	gēng	
U+9E58	鹘	gǔ,hú	gǔ	
U+9E73	鹳	guàn	guàn	
U+9F13	鼓	gǔ	gǔ	gǔ(286)
U+9F9A	龚	gōng	gōng	
U+9F9F	龟	guī,jūn,qiū	guī	guī(11)
U+9FCD	鿍	gàng	gàng	
U+26676	𦙶	gǔ	gǔ	
U+28408	𨐈	guāng	guāng	
U+2C1F9	𬇹	guó	guó	
U+2C494	𬒔	gěng	gěng	
U+2CBBF	𬮿	gài	gài	
