# Kranji phonic partition - initial: ch
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 354
U+8BDA	诚	chéng	chéng	chéng(51)
U+8BE7	诧	chà	chà	chà(38)
U+8C04	谄	chǎn	chǎn	
U+8C0C	谌	chén	chén	
U+8C17	谗	chán	chán	
U+8C36	谶	chèn	chèn	
U+8C49	豉	chǐ	chǐ	
U+8C7A	豺	chái	chái	chái(16)
U+8D64	赤	chì	chì	chì(34)
U+8D6A	赪	chēng	chēng	
U+8D81	趁	chèn	chèn	chèn(84)
U+8D85	超	chāo	chāo	chāo(256)
U+8E0C	踌	chóu	chóu	chóu(24)
U+8E14	踔	chuō	chuō	
U+8E1F	踟	chí	chí	
U+8E39	踹	chuài	chuài	
U+8E45	蹅	chǎ	chǎ	
U+8E70	蹰	chú	chú	
U+8E87	躇	chú	chú	chú(24)
U+8E94	躔	chán	chán	
U+8F66	车	chē,jū	chē	chē(1893)
U+8F8D	辍	chuò	chuò	
U+8FB0	辰	chén	chén	
U+8FBF	辿	chān	chān	
U+8FDF	迟	chí	chí	chí(107)
U+901E	逞	chěng	chěng	
U+9034	逴	chuō	chuō	
U+9044	遄	chuán	chuán	
U+90F4	郴	chēn	chēn	
U+916C	酬	chóu	chóu	chou(22)
U+9172	酲	chéng	chéng	
U+9187	醇	chún	chún	
U+948F	钏	chuàn	chuàn	
U+9497	钗	chāi	chāi	
U+949E	钞	chāo	chāo	chāo(25)
U+94D6	铖	chéng	chéng	
U+94F2	铲	chǎn	chǎn	chǎn(29)
U+94F3	铳	chòng	chòng	
U+9504	锄	chú	chú	chú(22)
U+9524	锤	chuí	chuí	chuí(15)
U+9538	锸	chā	chā	
U+9561	镡	chán,tán	chán	
U+9572	镲	chǎ	chǎ	
U+9575	镵	chán	chán	
U+95EF	闯	chuǎng	chuǎng	chuǎng(55)
U+960A	阊	chāng	chāng	
