# Kranji phonic partition - initial: j
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 629
U+805A	聚	jù	jù	jù(73)
U+808C	肌	jī	jī	jī(43)
U+80A9	肩	jiān	jiān	jiān(208)
U+80BC	肼	jǐng	jǐng	
U+80DB	胛	jiǎ	jiǎ	
U+80EB	胫	jìng	jìng	
U+80F6	胶	jiāo	jiāo	jiāo(37)
U+810A	脊	jǐ	jǐ	jí(38)
U+811A	脚	jiǎo	jiǎo	jiǎo(627)
U+8148	腈	jīng	jīng	jīng(21)
U+8152	腒	jū	jū	
U+8171	腱	jiàn	jiàn	
U+8199	膙	jiǎng	jiǎng	
U+81FC	臼	jiù	jiù	
U+8205	舅	jiù	jiù	jiù(48) jiu(35)
U+8230	舰	jiàn	jiàn	jiàn(21)
U+8270	艰	jiān	jiān	jiān(211)
U+827D	艽	jiāo	jiāo	
U+8282	节	jiē,jié	jié	jié(533)
U+82A5	芥	gài,jiè	jiè	
U+82A8	芨	jī	jī	
U+82B0	芰	jì	jì	
U+82E3	苣	jù,qǔ	jù	
U+82F4	苴	jū	jū	
U+8304	茄	jiā,qié	jiā	jiā(10)
U+830E	茎	jīng	jīng	jīng(15)
U+8327	茧	jiǎn	jiǎn	jiǎn(14)
U+832D	茭	jiāo	jiāo	
U+8333	茳	jiāng	jiāng	
U+8346	荆	jīng	jīng	
U+8350	荐	jiàn	jiàn	jiàn(19)
U+835A	荚	jiá	jiá	
U+8360	荠	jì,qí	jì	
U+8369	荩	jìn	jìn	
U+8392	莒	jǔ	jǔ	
U+8399	莙	jūn	jūn	
U+83C1	菁	jīng	jīng	
U+83C5	菅	jiān	jiān	
U+83CA	菊	jú	jú	jú(11)
U+83CC	菌	jūn,jùn	jūn	jūn(175)
U+846D	葭	jiā	jiā	
U+8470	葰	jùn,suǒ	jùn	
U+848B	蒋	jiǎng	jiǎng	
U+849F	蒟	jǔ	jǔ	
U+84B9	蒹	jiān	jiān	
U+84BA	蒺	jí	jí	
U+84DF	蓟	jì	jì	
U+8549	蕉	jiāo	jiāo	jiāo(14)
U+8568	蕨	jué	jué	
U+857A	蕺	jí	jí	
U+85C9	藉	jí,jiè	jí	
U+85E0	藠	jiào	jiào	
U+866E	虮	jǐ	jǐ	
U+86A7	蚧	jiè	jiè	
U+86DF	蛟	jiāo	jiāo	
U+86F1	蛱	jiá	jiá	
U+8710	蜐	jié	jié	
U+8832	蠲	juān	juān	
U+8857	街	jiē	jiē	jiē(335)
U+887F	衿	jīn	jīn	
U+8888	袈	jiā	jiā	
U+88E5	裥	jiǎn	jiǎn	
U+88FE	裾	jū	jū	
U+892F	褯	jiè	jiè	
U+895F	襟	jīn	jīn	jīn(13)
U+89C1	见	jiàn,xiàn	jiàn	jiàn(2832) xiàn(446) jian(335)
U+89C9	觉	jiào,jué	jué	jué(1032) jiào(179)
U+89CA	觊	jì	jì	
U+89D0	觐	jìn	jìn	
U+89D2	角	jiǎo,jué	jiǎo	jiǎo(392) jué(14)
U+89D6	觖	jué	jué	
U+89E3	解	jiě,jiè,xiè	jiě	jiě(1857)
U+89ED	觭	jī	jī	
U+8B07	謇	jiǎn	jiǎn	
